== fastent benchmark ==
  binary    : ./fastent
  ent       : /usr/bin/ent (compared at jobs=ent, single-threaded)
  size/run  : 1024 MiB
  runs/cell : 5 (after 1 warmup)
  jobs      : 1 2 4 8 16 24
  modes     : byte bit byte-fold
  levels    : plain e ee
  fips      : on
  datasets  : random zeros counter dna ascii biased sparse-bits lcg walk stripes
  cache     : /tmp/fastent-bench

  generating random       (1024 MiB) ...
  generating zeros        (1024 MiB) ...
  generating counter      (1024 MiB) ...
  generating dna          (1024 MiB) ...
  generating ascii        (1024 MiB) ...
  generating biased       (1024 MiB) ...
  generating sparse-bits  (1024 MiB) ...
  generating lcg          (1024 MiB) ...
  generating walk         (1024 MiB) ...
  generating stripes      (1024 MiB) ...

  dataset      mode      level jobs        mean      stddev         min         max       MiB/s
  ------------ --------- ----- ----   ---------   ---------   ---------   ---------   ---------
  random       byte      plain  ent     8.8360s     0.0324s     8.7992s     8.8845s       115.9
  random       byte      plain    1     0.3123s     0.0011s     0.3106s     0.3134s      3278.7
  random       byte      plain    2     0.2017s     0.0012s     0.2002s     0.2032s      5076.8
  random       byte      plain    4     0.1163s     0.0006s     0.1156s     0.1170s      8807.3
  random       byte      plain    8     0.0773s     0.0020s     0.0741s     0.0793s     13251.5
  random       byte      plain   16     0.0641s     0.0012s     0.0628s     0.0657s     15984.4
  random       byte      plain   24     0.0612s     0.0029s     0.0576s     0.0648s     16732.3
  random       byte      e        1     1.8624s     0.0051s     1.8550s     1.8673s       549.8
  random       byte      e        2     1.0014s     0.0036s     0.9975s     1.0068s      1022.6
  random       byte      e        4     0.5400s     0.0030s     0.5368s     0.5443s      1896.2
  random       byte      e        8     0.3270s     0.0104s     0.3145s     0.3425s      3131.4
  random       byte      e       16     0.2776s     0.0019s     0.2756s     0.2803s      3688.2
  random       byte      e       24     0.3040s     0.0093s     0.2883s     0.3130s      3368.9
  random       byte      ee       1     3.0524s     0.0299s     3.0226s     3.0973s       335.5
  random       byte      ee       2     1.6408s     0.0117s     1.6276s     1.6548s       624.1
  random       byte      ee       4     0.8855s     0.0022s     0.8829s     0.8887s      1156.4
  random       byte      ee       8     0.5291s     0.0136s     0.5161s     0.5485s      1935.5
  random       byte      ee      16     0.4371s     0.0045s     0.4325s     0.4422s      2342.5
  random       byte      ee      24     0.4586s     0.0042s     0.4523s     0.4631s      2233.0
  random       bit       plain  ent    20.1955s     3.9268s    18.4090s    27.2199s        50.7
  random       bit       plain    1     0.1387s     0.0010s     0.1374s     0.1397s      7385.5
  random       bit       plain    2     0.1119s     0.0008s     0.1109s     0.1130s      9153.9
  random       bit       plain    4     0.0712s     0.0011s     0.0701s     0.0729s     14380.4
  random       bit       plain    8     0.0544s     0.0034s     0.0507s     0.0587s     18817.9
  random       bit       plain   16     0.0509s     0.0013s     0.0488s     0.0521s     20111.0
  random       bit       plain   24     0.0517s     0.0011s     0.0507s     0.0534s     19824.1
  random       bit       e        1     1.6851s     0.0024s     1.6821s     1.6877s       607.7
  random       bit       e        2     0.9121s     0.0040s     0.9089s     0.9185s      1122.6
  random       bit       e        4     0.4956s     0.0028s     0.4924s     0.4996s      2066.0
  random       bit       e        8     0.2978s     0.0022s     0.2962s     0.3016s      3438.2
  random       bit       e       16     0.2712s     0.0065s     0.2629s     0.2809s      3776.0
  random       bit       e       24     0.3037s     0.0034s     0.2989s     0.3078s      3371.9
  random       bit       ee       1     5.4170s     0.0007s     5.4161s     5.4181s       189.0
  random       bit       ee       2     2.7841s     0.0019s     2.7821s     2.7862s       367.8
  random       bit       ee       4     1.4656s     0.0010s     1.4639s     1.4664s       698.7
  random       bit       ee       8     0.8166s     0.0118s     0.8008s     0.8335s      1254.0
  random       bit       ee      16     0.6301s     0.0056s     0.6218s     0.6350s      1625.2
  random       bit       ee      24     0.6105s     0.0259s     0.5675s     0.6320s      1677.2
  random       byte-fold plain  ent    14.3853s     0.0851s    14.2794s    14.4714s        71.2
  random       byte-fold plain    1     0.4047s     0.0078s     0.3983s     0.4183s      2530.5
  random       byte-fold plain    2     0.2458s     0.0031s     0.2426s     0.2499s      4166.5
  random       byte-fold plain    4     0.1424s     0.0013s     0.1415s     0.1446s      7191.6
  random       byte-fold plain    8     0.0881s     0.0023s     0.0855s     0.0913s     11629.5
  random       byte-fold plain   16     0.0752s     0.0053s     0.0705s     0.0817s     13621.0
  random       byte-fold plain   24     0.0666s     0.0014s     0.0646s     0.0678s     15382.3
  random       byte-fold e        1     1.9518s     0.0103s     1.9425s     1.9665s       524.6
  random       byte-fold e        2     1.0470s     0.0049s     1.0404s     1.0529s       978.1
  random       byte-fold e        4     0.5634s     0.0034s     0.5608s     0.5674s      1817.4
